name,animal,area,walk_min,price_30min,contact_level,animal_count,quietness,open_time,close_time
猫カフェ にゃんこ,猫,横浜,5,800,4,15,3,11:00,20:00
サモエドカフェ もふもふ,サモエド,川崎,8,1500,5,6,2,12:00,19:00
ハリネズミの森,ハリネズミ,桜木町,3,1200,3,20,5,10:00,18:00
ブタカフェ ぶーちゃん,ブタ,関内,10,1800,5,4,4,11:00,18:00
猫カフェ ひだまり,猫,桜木町,7,1000,3,12,5,10:00,21:00
うさぎ茶房 みみより,ウサギ,元町,6,1100,4,10,4,11:00,19:00
フクロウの止まり木,フクロウ,新横浜,4,1600,3,14,5,10:00,19:00
カピバラcafe のんびり,カピバラ,上大岡,12,2000,4,3,3,10:00,17:00
深夜の猫舎,猫,横浜,2,900,3,18,4,17:00,23:30
モーニング猫カフェ そら,猫,戸塚,9,700,3,11,3,07:00,15:00
チンチラ喫茶 ふわり,チンチラ,武蔵小杉,5,1400,4,8,5,12:00,20:00
柴犬カフェ まめ,柴犬,藤沢,11,1300,5,5,2,10:00,18:00
カワウソcafe うーちゃん,カワウソ,川崎,7,2200,5,4,2,11:00,19:00
フェレット荘,フェレット,鎌倉,14,1500,4,9,3,10:00,17:00
ヤギとパン 里山,ヤギ,鶴見,15,1000,3,6,4,09:00,16:00
爬虫類カフェ うろこ,トカゲ,関内,3,1200,2,25,5,13:00,22:00
小鳥のさえずり喫茶,小鳥,横浜,4,900,2,30,2,10:00,19:00
ミーアキャットの丘,ミーアキャット,新横浜,8,1900,4,7,3,11:00,18:00
猫と本と 夜ふかし堂,猫,桜木町,6,1100,3,9,5,15:00,23:00
ハリネズミと珈琲 とげとげ,ハリネズミ,元町,5,1300,4,16,4,11:00,20:00
