include,name,animal,address,area,walk_min,price_30min,contact_level,animal_count,quietness,open_time,close_time,latitude,longitude,official_url,source_url,memo
yes,Café & zakka mattari,うさぎ,〒231-0804 神奈川県横浜市中区本牧宮原２−６ 本牧シーサイドプラザ,,,,,,,,,35.4282664,139.6653981,,https://animal-cafe.com/cafe/ChIJn_XhD-pdGGARp4WYZfgUby8,Google情報と一致
yes,Cafe fuwafuwa,その他,〒225-0024 神奈川県横浜市青葉区市ケ尾町１１６２−１ ファミリーコーポ市ヶ尾 309,,,,,,,,,35.5528618,139.5411096,,https://animal-cafe.com/cafe/ChIJy6LYo5v3GGAR-uNsv2-IWZE,要確認(名前の一致度が低い)
yes,"Capybara Cafe ""Capybara Land"" PUIPUI",カピバラ,〒224-0007 神奈川県横浜市都筑区荏田南５丁目８−１３ みずきフード,,,,,,,,,35.5482061,139.5608733,,https://animal-cafe.com/cafe/2664353,Google情報と一致
yes,HARRY横浜中華街店,ハリネズミ,神奈川県横浜市中区山下町103-3 M'sPort 2F,,,,,,,,,35.4424533,139.6481187,https://harinezumi-cafe.com/store/yokohama-chukagai/,https://animal-cafe.com/cafe/ChIJ6fMoNsFdGGARETKWE-SojaE,確認済み
yes,Owl Cafe Fukurai Tower Honmoku store (birds of prey expert),フクロウ,〒232-0035 神奈川県横浜市南区平楽１５７,,,,,,,,,35.4289889,139.6289412,,https://animal-cafe.com/cafe/2662656,要確認(Googleで見つからず)
yes,アートギャラリー OWL(アウル),フクロウ,〒231-0868 神奈川県横浜市中区石川町１丁目54−５,,,,,,,,,35.4365006,139.6443333,,https://animal-cafe.com/cafe/ChIJg4mLPOdcGGARE1rPxcD9MNM,Google情報と一致
yes,mipig cafe 横浜中華街店,ブタ,〒231-0023 神奈川県横浜市中区山下町１８８,,,,,,,,,35.4425876,139.6474119,,https://animal-cafe.com/cafe/ChIJbf6Q4dRdGGARGgLvSKHuJp4,Google情報と一致
yes,pignic cafe yokohama,ブタ,〒231-0023 神奈川県横浜市中区山下町１０９−５,,,,,,,,,35.4418211,139.6492673,,https://animal-cafe.com/cafe/ChIJd9lzbMxdGGAR4x76s5SWOIg,Google情報と一致
yes,小動物cafe Anima,小動物,〒231-0064 神奈川県横浜市中区野毛町３丁目１３３−６ 高文堂,,,,,,,,,35.4482684,139.6281642,,https://animal-cafe.com/cafe/2663382,Google情報と一致
yes,animal cafe cosy,小動物ほか,〒220-0055 神奈川県横浜市西区浜松町１−１９ ハレルアナ,,,,,,,,,35.4510894,139.6128944,,https://animal-cafe.com/cafe/ChIJ-698XT9dGGAR3zlk7GRzNrE,Google情報と一致
